"user","leave_type","created_at","booking_unit","total","working","deducted","actioner","start_time","end_time","actioned_at","status","reason","decline_reason"
"02e04ab165078b7cd714a9f8c8b2b5c3","Vacation",2016-09-14,"Days",1,1,0,"Courtney Seiter",2016-09-14,2016-09-15,2016-09-14,"Authorised","",""
"72a733eab6a7378f99fa3a2560af4e56","Holiday",2016-09-15,"Days",1,1,0,"Sunil Sadasivan",2016-09-16,2016-09-17,2016-09-16,"Authorised","Holiday in Ibiza",""
"72a733eab6a7378f99fa3a2560af4e56","Holiday",2016-09-15,"Days",1,1,0,"Sunil Sadasivan",2016-09-19,2016-09-20,2016-09-16,"Authorised","Holiday in Ibiza",""
"df9898277f15daf66ac4cffe466d4c18","Vacation",2016-10-25,"Days",12,10,0,"Todd Balsley",2016-09-19,2016-10-01,2016-10-25,"Authorised","Vacation",""
"c440b7b1219e651c2e9fee9ae4ea5ae1","Holiday",2016-09-15,"Days",1,1,0,"Steven Cheng",2016-09-19,2016-09-20,2016-09-15,"Authorised","Local holiday in Madrid",""
"b33755c444c9c898fda1fa92e7f64917","Vacation",2016-09-19,"Days",2,2,0,"Kevan Lee",2016-09-22,2016-09-24,2016-09-19,"Authorised","Jade birthday + vacation",""
"0799c8f72fc565ccc91f4a7910e0c114","Vacation",2016-09-15,"Days",1.5,1.5,0,"Michael Erasmus",2016-09-22,2016-09-24,2016-09-15,"Authorised","My cousin's wedding",""
"02e04ab165078b7cd714a9f8c8b2b5c3","Vacation",2016-09-13,"Days",1,1,1,"Courtney Seiter",2016-09-23,2016-09-24,2016-09-13,"Authorised","Planning GTTM conference!",""
"a37f6d7dac5c668e4583131ecaee0936","Vacation",2016-09-16,"Days",16,10,0,"Courtney Seiter",2016-09-24,2016-10-10,2016-09-22,"Authorised","New Zealand Vacation",""
"3b1970e13a8d64feb0230dbf461f231f","Vacation",2016-09-15,"Days",5,5,0,"Katie Womersley",2016-09-26,2016-10-01,2016-09-15,"Authorised","Vacation (already planned via Discourse - https://discourse.buffer.com/t/katie-holiday-plans-sept-26-30th/3061)",""
"89ffbe3e8828f2c073c536f63d828ef4","Family leave",2016-09-22,"Days",3,3,0,"Courtney Seiter",2016-09-26,2016-09-29,2016-09-23,"Authorised","Delight Conference - Buffer is a sponsor! ",""
"1fb4d90b83306811646f048eece572a0","Vacation",2016-09-15,"Days",5,5,0,"Rodolphe Dutel",2016-09-26,2016-10-01,2016-09-15,"Authorised","Offline vacation :)",""
